series,subplot,scale,Disturbance.Frequency,Disturbance.Severity
NFD21_03,NW,1,1.2136646666666666,0.5452266666666666
NFD21_03,NW,10,1.264260476190476,0.542304761904762
NFD21_03,SE,1e-4,1.1812025,0.51852
NFD21_03,SE,0.001,1.1812025,0.51852
NFD21_03,SE,0.01,1.2222166666666667,0.507915
NFD21_03,SE,0.1,1.2299921428571428,0.5435207142857142
NFD21_03,SE,1,1.29012875,0.53797875
NFD21_03,SE,10,1.3102073913043477,0.5500452173913043
NFD21_03,x,100,1.307955625,0.5541493749999999
NFD21_04,NW,1e-4,1.0729666666666666,0.4540166666666667
NFD21_04,NW,0.001,1.0729666666666666,0.4540166666666667
NFD21_04,NW,0.01,1.24286,0.5378283333333334
NFD21_04,NW,0.1,1.2114191666666667,0.5270958333333333
NFD21_04,NW,1,1.21054375,0.524635625
NFD21_04,NW,10,1.2052918181818182,0.5337086363636364
NFD21_04,SE,1e-4,0.86379,0.52099
NFD21_04,SE,0.001,0.86379,0.52099
NFD21_04,SE,0.01,0.9309149999999999,0.48461
NFD21_04,SE,0.1,1.1797325,0.544295
NFD21_04,SE,1,1.248339411764706,0.5444270588235294
NFD21_04,SE,10,1.2371445833333334,0.56096125
NFD21_04,x,100,1.193775,0.551416
NFD21_05,NW,1e-4,0.750095,0.47768499999999997
NFD21_05,NW,0.001,0.6417266666666667,0.5079133333333333
NFD21_05,NW,0.01,0.6807,0.522315
NFD21_05,NW,0.1,0.7622733333333334,0.509784
NFD21_05,NW,1,0.8758768181818182,0.5096195454545455
NFD21_05,NW,10,1.0227217948717948,0.5073115384615384
NFD21_05,SE,1e-4,0.750095,0.47768499999999997
NFD21_05,SE,0.001,0.952635,0.48804
NFD21_05,SE,0.01,1.0314475,0.4872975
NFD21_05,SE,0.1,0.941973125,0.496315625
NFD21_05,SE,1,0.9750619230769231,0.4975373076923077
NFD21_05,SE,10,0.9641936956521739,0.5083776086956522
NFD21_05,x,100,0.9864228571428572,0.5170357142857143
NFD21_06,NW,1e-4,1.2536475,0.510615
NFD21_06,NW,0.001,1.218704,0.492616
NFD21_06,NW,0.01,1.0280714285714285,0.5046614285714286
NFD21_06,NW,0.1,1.041485625,0.499045625
NFD21_06,NW,1,1.1915964285714287,0.5188185714285715
NFD21_06,NW,10,1.1691241666666667,0.5336677083333333
NFD21_06,SE,1e-4,1.255225,0.56952
NFD21_06,SE,0.001,1.2569916666666667,0.5363333333333333
NFD21_06,SE,0.01,1.194055,0.52279875
NFD21_06,SE,0.1,1.2990854545454547,0.5674818181818182
NFD21_06,SE,1,1.1655214285714286,0.5408761904761905
NFD21_06,SE,10,1.2245875,0.5213972222222222
NFD21_06,x,100,1.1748560937499999,0.5316990625
NFD21_07,NW,1e-4,1.11642,0.52904
NFD21_07,NW,0.001,1.246618,0.5415719999999999
