habitat_broad,scale,total_species_min,total_species_max,total_species_mean,native_min,native_max,native_mean,non_native_percent_min,non_native_percent_max,non_native_percent_mean,invasive_percent_min,invasive_percent_max,invasive_percent_mean,archaeophyte_percent_min,archaeophyte_percent_max,archaeophyte_percent_mean,neophyte_percent_min,neophyte_percent_max,neophyte_percent_mean,Plot_number,non_native_plot_n,percent_plots_alien,invasive_plot_n,percent_plots_invasive,archaeophyte_plot_n,percent_plots_archaeophyte,neophyte_plot_n,percent_plots_neophyte
fringe,0.01,4,16,8.07,4,16,8.07,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
fringe,0.1,5,32,13.71,5,32,13.71,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
fringe,1,8,44,20.29,8,44,20.29,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
fringe,10,17,54,32.36,17,54,32.36,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
fringe,100,27,74,48.29,27,74,48.14,0,2,0.29,0,0,0,0,2,0.29,0,0,0,7,1,14.29,0,0,1,14.29,0,0
alpine,0.001,1,7,3.33,1,7,3.33,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
alpine,0.01,1,12,4.91,1,11,4.86,0,8.33,0.38,0,0,0,0,8.33,0.38,0,0,0,22,1,4.55,0,0,1,4.55,0,0
alpine,0.1,3,15,7.77,3,15,7.73,0,6.67,0.3,0,0,0,0,6.67,0.3,0,0,0,22,1,4.55,0,0,1,4.55,0,0
alpine,1,5,22,11.95,5,22,11.91,0,4.76,0.22,0,0,0,0,4.76,0.22,0,0,0,22,1,4.55,0,0,1,4.55,0,0
alpine,10,8,35,17.77,8,35,17.73,0,3.7,0.17,0,0,0,0,3.7,0.17,0,0,0,22,1,4.55,0,0,1,4.55,0,0
alpine,100,13,52,26.09,13,52,26,0,2.44,0.22,0,0,0,0,2.44,0.22,0,0,0,11,1,9.09,0,0,1,9.09,0,0
