type,series,richness_type,c,z,p_value_slope,r_squared
p_a,BS19005,total_species,16.419937561997614,0.20279154801394164,1.4569028604586808e-8,0.9720666231614996
p_a,BS19005,native,14.999087998635368,0.20357887469755956,7.895787680686276e-9,0.9749235694703062
p_a,BS19005,non_native,1.4167448570551577,0.19548961922230904,4.5863818725892596e-4,0.8058073338701208
p_a,BS19005,invasive,1.0074747397765893,0.17297494609320913,0.005662582207366553,0.6537436852534533
p_a,BS19013,total_species,11.06113067593602,0.2737784765498431,5.8721344377601224e-8,0.9663608231019404
p_a,BS19013,native,11.06113067593602,0.2737784765498431,5.8721344377601224e-8,0.9663608231019404
p_a,BS19013,non_native,NA,NA,NA,NA
p_a,BS19013,invasive,NA,NA,NA,NA
p_a,BS19023,total_species,16.357513460144652,0.20638230246752615,2.311262232928731e-8,0.9688512781974834
p_a,BS19023,native,15.051758357786586,0.19190571724795158,7.178009238384364e-7,0.9390825555594886
p_a,BS19023,non_native,1.194180572611015,0.35602560124785076,8.176126985484411e-5,0.887853873031583
p_a,BS19023,invasive,0.23742388528769945,0.55392982015713,3.4532224153989465e-8,0.9813663761130322
p_a,BS19031,total_species,9.889653830149662,0.17606375145112646,2.668166316929532e-6,0.9488055854843044
p_a,BS19031,native,9.835482724005747,0.17053483467141775,5.6774564742960055e-6,0.9390576334600359
p_a,BS19031,non_native,NA,NA,NA,NA
p_a,BS19031,invasive,NA,NA,NA,NA
p_a,BS19032,total_species,10.794190849630063,0.18146006844621204,2.20261651311528e-6,0.9243384872060723
p_a,BS19032,native,10.794190849630063,0.18146006844621204,2.20261651311528e-6,0.9243384872060723
p_a,BS19032,non_native,NA,NA,NA,NA
p_a,BS19032,invasive,NA,NA,NA,NA
p_a,BS19048,total_species,6.853226914472833,0.24047367323544672,1.7790874105467643e-6,0.9282873443594952
p_a,BS19048,native,6.580051018813146,0.23816862893838592,5.3065613473339705e-6,0.9105660777025413
p_a,BS19048,non_native,0.2830397025235058,0.2785708530774326,0.04747518356879178,0.49798449183433513
p_a,BS19048,invasive,0.2830397025235058,0.2785708530774326,0.04747518356879178,0.49798449183433513
p_a,NFD21_01,total_species,18.440807815764305,0.21071231543085203,1.4366594310517234e-10,0.9867876806312089
p_a,NFD21_01,native,18.42977868107709,0.20733720504032666,1.0337519667579468e-10,0.9875033127016666
p_a,NFD21_01,non_native,NA,NA,NA,NA
p_a,NFD21_01,invasive,NA,NA,NA,NA
p_a,NFD21_02,total_species,19.24114883135079,0.16427145271206747,5.4933932615164374e-8,0.9547270392434964
p_a,NFD21_02,native,18.17500898245717,0.15628018419454637,1.573543969950375e-7,0.9444328384928082
p_a,NFD21_02,non_native,0.8761179825686511,0.3301379015557157,0.002012687203879254,0.7380300465039806
p_a,NFD21_02,invasive,NA,NA,NA,NA
p_a,NFD21_03,total_species,15.782380915001681,0.15137037335012174,7.768731166789798e-10,0.9792371915791415
p_a,NFD21_03,native,14.394225251975072,0.14076538566442184,1.5534560204879695e-10,0.9838885820146199
p_a,NFD21_03,non_native,1.3552165314350053,0.24469652723917887,0.003768618687735427,0.7117997516914212
p_a,NFD21_03,invasive,0.13653989321948545,0.4423605939463915,0.01769141057338752,0.660341826136114
p_a,NFD21_04,total_species,14.26136689201132,0.17992500425760302,4.303953679629125e-7,0.9444585214669748
p_a,NFD21_04,native,12.79064852027567,0.174763099726632,7.151768028335927e-7,0.9381009006853818
p_a,NFD21_04,non_native,1.4467514653258198,0.22661006036188416,0.001412865423895193,0.7546675313717012
p_a,NFD21_04,invasive,0.9966463882514818,0.16581094195120008,8.692181873617067e-4,0.75838002807006
p_a,NFD21_05,total_species,24.311309136232186,0.2151828622700658,5.543596647690768e-10,0.984685137320439
p_a,NFD21_05,native,24.311309136232186,0.2151828622700658,5.543596647690768e-10,0.984685137320439
p_a,NFD21_05,non_native,NA,NA,NA,NA
p_a,NFD21_05,invasive,NA,NA,NA,NA
p_a,NFD21_06,total_species,24.44643513791541,0.22188886076023204,5.233512484887689e-9,0.976577787968688
p_a,NFD21_06,native,23.0117032496806,0.2253688595409237,2.2223781894474956e-8,0.9697814022701742
p_a,NFD21_06,non_native,1.4264397328816054,0.15848095561239975,0.002923962823636121,0.6453353097993741
p_a,NFD21_06,invasive,NA,NA,NA,NA
p_a,NFD21_07,total_species,28.316502638587167,0.22497932733403692,3.118095243649477e-11,0.9911121393517098
p_a,NFD21_07,native,27.396904742994472,0.22408584957515756,1.8222963546882897e-10,0.9877011935621396
p_a,NFD21_07,non_native,0.9121975255884962,0.2528231956236314,0.003740622552464298,0.6980790312422362
p_a,NFD21_07,invasive,NA,NA,NA,NA
p_a,NFD21_08,total_species,32.416172552893755,0.2188539029208451,3.2126258463217016e-8,0.9667561518956951
p_a,NFD21_08,native,32.27950660260665,0.21727853387546073,2.77533709729822e-8,0.9675425952029822
p_a,NFD21_08,non_native,0.13653989417256604,0.4423605921989992,0.017691411153930754,0.6603418261361216
p_a,NFD21_08,invasive,NA,NA,NA,NA
p_a,NFD21_09,total_species,31.384066859187477,0.17713514704584613,1.802571202923046e-9,0.9789178443495449
p_a,NFD21_09,native,30.98514887090225,0.17596589482869207,1.3034656568106494e-9,0.9800386890530272
p_a,NFD21_09,non_native,0.40973609731155564,0.24293497093097946,0.008118516241310091,0.6741670594938219
p_a,NFD21_09,invasive,NA,NA,NA,NA
p_a,NFD21_10,total_species,39.00241416982743,0.16682342425462496,1.219822997840675e-7,0.954011739091479
p_a,NFD21_10,native,38.38121481253792,0.1668857989853915,1.1105238652585716e-7,0.9546830956815238
