series,dataset,subplot,habitat_group,economic_use,zonality,lon,lat,altitude,BIO1,BIO12,BIO7,BIO15,pH,depth_mean,cover_herbs,cover_herbs_sum,inclination,heat_index,cover_litter,grazing,grazing_intencity,mowing,burning,abandonment,build_up_5km,built_up_2km,deph_SD,microrelief,cover_stones,cover_gravel,cover_soil,cover_shrub_total,sand,silt,clay,conductivity,Corg,roads,footprint_values,cover_gravel_stones
UAS42,6,NW,sandy,0,0,32.977027,46.566771,23,108,430,328,18,7.08,80,31,34.011,30,-0.442275965,2,0,0,0,0,1,4.242817708,0.277208707,0,15,0,0,100,2,94,2.4,3.6,63.3,0.072,277,5,0
UAS42,6,SE,sandy,0,0,32.977112,46.56668,21,108,430,328,18,7.48,80,16,18.05,10,-0.152703645,2,0,0,0,0,1,4.244987725,0.275796178,0,4,0,0,100,3,95,2.3,2.7,52.2,0.108,277,5,0
UAS43,6,NW,sandy,0,0,31.95658,46.45818,3,110,394,309,19,6.95,77.2,40,29.21,0,0,80,0,0,0,0,1,0.091015756,0,1.788854382,6.5,0,0,100,0,95,4.98,0.02,63.7,0.54,285,6,0
UAS43,6,SE,sandy,0,0,31.95673,46.45807,3,110,394,309,19,6.84,10.4,35,38.781,2,-0.024692713,15,0,0,0,0,1,0.091122672,0,4.219004622,2,0,0,100,0,94.5,5.48,0.02,50.4,0.336,285,6,0
UAS44,6,NW,sandy,0,0,31.971544,46.456817,1,110,393,309,19,6.86,70.4,60,53.621,0,0,15,0,0,0,0,1,0.093534845,0,5.504543578,15,0,0,100,0,80,20,0,81.2,0.684,285,6,0
UAS44,6,SE,sandy,0,0,31.971647,46.456643,1,110,393,309,19,6.83,76.6,60,60.93,0,0,70,0,0,0,0,1,0.092577007,0,1.816590212,9,0,0,100,0.01,82,18,0,75.3,0.876,285,6,0
UAS45,6,NW,sandy,0,0,32.11914,46.44494,7,110,408,311,18,6.72,63.7,40,51.09,5,0.015192247,15,0,0,0,0,1,0.00163382,0,12.26580613,12,0,0,100,0,95,5,0,90.5,0.3,0,4,0
UAS45,6,SE,sandy,0,0,32.11927,46.44483,5,110,408,311,18,7.19,57.2,45,54.079,7,-0.01070138,15,0,0,0,0,1,0.001638002,0,5.403702434,16,0,0,100,0.01,93.5,6.5,0,85,0.324,0,4,0
UAS46,6,NW,sandy,0,0,32.85778,46.61141,13,107,431,328,19,6.97,34.8,30,32.298,3,0.013564131,5,0,0,0,0,1,2.277118297,1.272147865,2.48997992,5,0,0,100,0.5,99,0.98,0.02,64.4,0.252,363,17,0
UAS46,6,SE,sandy,0,0,32.85786,46.61128,7,107,431,328,19,7.35,40.5,45,48.68,1,0.011679718,5,0,0,0,0,1,2.276613151,1.275399361,1.802775638,3,0,0,100,4,99,0.98,0.02,52.1,0.18,363,17,0
UAS47,6,NW,sandy,0,0,32.85774,46.61261,8,107,431,328,19,7.85,44.4,35,37.033,2,-0.034390245,90,0,0,0,0,1,2.293156282,1.274183216,4.449719092,2,0,0,100,0,92,7.92,0.08,84.4,0.228,363,17,0
UAS47,6,SE,sandy,0,0,32.85783,46.6125,12,107,431,328,19,6.81,38,75,106.34,4,-0.057280691,95,0,0,0,0,1,2.25878268,1.270926518,2.915475947,2,0,0,100,0,93,6.96,0.04,93.2,0.36,363,17,0
UAS48,6,NW,sandy,0,0,32.83047,46.41227,6,109,416,318,18,7.91,81.4,80,97.32,4,-0.006094523,40,0,0,0,0,1,0,0,3.130495168,10,0,0,100,0,89.5,6,4.5,73.5,0.3,182,11,0
