type,series,scale,total_species,native,non_native,invasive,naturalised,casual,neophyte,archaeophyte,non_native_percent,invasive_percent,archaeophyte_percent,neophyte_percent,p_a_non_native,p_a_invasive,p_a_neophyte,pca1_clima,dataset,habitat_group,habitat_broad,economic_use,zonality,lon,lat,altitude,BIO1,BIO12,BIO7,BIO15,pH,depth_mean,cover_herbs,cover_herbs_sum,inclination,heat_index,cover_litter,grazing,grazing_intencity,mowing,burning,abandonment,build_up_5km,built_up_2km,deph_SD,microrelief,cover_stones,cover_gravel,cover_soil,cover_shrub_total,sand,silt,clay,conductivity,Corg,roads,footprint_values,cover_gravel_stones,builtup_250m,cropland_250m,builtup_500m,cropland_500m,builtup_1000m,cropland_1000m,builtup_2000m,cropland_2000m
p_a,BS19005,1,19,17,2,2,0,0,2,0,0.10526315789473684,0.10526315789473684,0,0.10526315789473684,1,1,1,-0.80861093,11,sandy,dry,0,0,31.9791385,46.83827049999999,11,106,425,328,23,7.75,NA,67.5,86.06649999999999,4.5,0.04522803099999999,47.5,0,0,0,0,1,28.163764370000003,22.552566225,NA,3,0,0,100,2.675,NA,NA,NA,NA,NA,611,34,0,20.33677864074705,0,22.31226539611815,1.63006407022476,19.21957874298095,2.22882032394409,22.88431549072265,8.075573444366455
p_a,BS19005,10,29,25,4,3,1,0,2,2,0.13793103448275862,0.10344827586206896,0.06896551724137931,0.06896551724137931,1,1,1,-0.80861093,11,sandy,dry,0,0,31.9791385,46.83827049999999,11,106,425,328,23,7.75,NA,67.5,86.06649999999999,4.5,0.04522803099999999,47.5,0,0,0,0,1,28.163764370000003,22.552566225,NA,3,0,0,100,2.675,NA,NA,NA,NA,NA,611,34,0,20.33677864074705,0,22.31226539611815,1.63006407022476,19.21957874298095,2.22882032394409,22.88431549072265,8.075573444366455
p_a,BS19005,100,38,34,4,3,1,0,2,2,0.10526315789473684,0.07894736842105263,0.05263157894736842,0.05263157894736842,1,1,1,-0.80861093,11,sandy,dry,0,0,31.9791385,46.83827049999999,11,106,425,328,23,7.75,NA,67.5,86.06649999999999,4.5,0.04522803099999999,47.5,0,0,0,0,1,28.163764370000003,22.552566225,NA,3,0,0,100,2.675,NA,NA,NA,NA,NA,611,34,0,20.33677864074705,0,22.31226539611815,1.63006407022476,19.21957874298095,2.22882032394409,22.88431549072265,8.075573444366455
p_a,BS19013,1e-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19013,0.001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19013,0.01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19013,0.1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19013,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19013,10,20,19,1,1,0,0,0,1,0.05,0.05,0.05,0,1,1,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19013,1e-4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19013,0.001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19013,0.01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19013,0.1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19013,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
